rebalance_date,rank,symbol,trailing_90d_median_yahoo_dollar_volume,valid_volume_obs_90d
2021-05-01,36,MANA-USD,268547150.0,90
2021-05-01,37,ZRX-USD,260144296.0,90
2021-05-01,38,ZIL-USD,202133897.0,90
2021-05-01,39,RVN-USD,191162147.0,90
2021-05-01,40,CRO-USD,181064066.5,90
2021-05-01,41,REN-USD,155730200.0,90
2021-05-01,42,SNX-USD,154686567.5,90
2021-05-01,43,ICX-USD,149794271.5,90
2021-05-01,44,MKR-USD,135974655.5,90
2021-05-01,45,ANKR-USD,134922530.5,90
2021-05-01,46,SC-USD,130034811.0,90
2021-05-01,47,WAVES-USD,129561446.0,90
2021-05-01,48,NPXS-USD,121749636.0,90
2021-05-01,49,BNT-USD,104736868.0,90
2021-05-01,50,DENT-USD,95775176.5,90
2021-06-01,1,BTC-USD,57336425427.0,90
2021-06-01,2,ETH-USD,31834291241.0,90
2021-06-01,3,XRP-USD,8223116624.5,90
2021-06-01,4,LTC-USD,5202482043.0,90
2021-06-01,5,ADA-USD,4784231796.5,90
2021-06-01,6,BNB-USD,4280005362.5,90
2021-06-01,7,BCH-USD,3823179226.0,90
2021-06-01,8,DOGE-USD,3572381055.0,90
2021-06-01,9,EOS-USD,3039775343.0,90
2021-06-01,10,TRX-USD,2895036658.5,90
2021-06-01,11,ETC-USD,2072273089.0,90
2021-06-01,12,LINK-USD,1828530664.0,90
2021-06-01,13,FIL-USD,1712177092.0,90
2021-06-01,14,VET-USD,1590172676.5,90
2021-06-01,15,XLM-USD,1561047315.5,90
2021-06-01,16,BSV-USD,1410518215.0,90
2021-06-01,17,BTT-USD,1221504655.0,90
2021-06-01,18,BTTOLD-USD,1221504655.0,90
2021-06-01,19,NEO-USD,1090017017.0,90
2021-06-01,20,DASH-USD,967090108.0,90
2021-06-01,21,QTUM-USD,862518130.0,90
2021-06-01,22,HT-USD,852748752.0,90
2021-06-01,23,ZEC-USD,704844227.5,90
2021-06-01,24,ATOM-USD,669793953.5,90
2021-06-01,25,XMR-USD,602210912.0,90
2021-06-01,26,ONT-USD,537626720.5,90
2021-06-01,27,OMG-USD,525526812.5,90
2021-06-01,28,THETA-USD,468252119.0,90
2021-06-01,29,BAT-USD,467201323.0,90
2021-06-01,30,XTZ-USD,423701603.0,90
2021-06-01,31,OKB-USD,415771801.5,90
2021-06-01,32,HOT2682-USD,411691831.5,90
2021-06-01,33,ENJ-USD,384655979.0,90
